class,feature,coef,abs_coef,importance
normal,cat__iv2_Right etc,0.23671351961909767,0.23671351961909767,0.23671351961909767
normal,cat__department_Thoracic surgery,-0.2296439910760464,0.2296439910760464,0.2296439910760464
normal,cat__iv2_Left forearm,-0.22793126504489217,0.22793126504489217,0.22793126504489217
normal,cat__approach_Open,0.2176181774476945,0.2176181774476945,0.2176181774476945
normal,cat__cormack_II,0.21641444592014306,0.21641444592014306,0.21641444592014306
normal,cat__optype_Thyroid,-0.21545471831034313,0.21545471831034313,0.21545471831034313
normal,cat__department_General surgery,-0.21505248961558868,0.21505248961558868,0.21505248961558868
normal,cat__cline1_None,-0.2073445303514085,0.2073445303514085,0.2073445303514085
normal,num__analyzed_duration_sec,-0.19675227920592167,0.19675227920592167,0.19675227920592167
normal,num__intraop_eph,0.19422162878186447,0.19422162878186447,0.19422162878186447
normal,cat__optype_Colorectal,-0.19332801940753,0.19332801940753,0.19332801940753
normal,cat__ane_type_Sedationalgesia,-0.19272223541144748,0.19272223541144748,0.19272223541144748
normal,cat__position_None,-0.19089012972567604,0.19089012972567604,0.19089012972567604
normal,num__weight,-0.18096716767813847,0.18096716767813847,0.18096716767813847
normal,num__intraop_crystalloid,0.17968610272085922,0.17968610272085922,0.17968610272085922
normal,cat__aline2_Right femoral,0.1764199048210259,0.1764199048210259,0.1764199048210259
normal,"cat__preop_ecg_Atrial fibrillation with premature ventricular, Incomplete left bundle block",-0.17264460475879978,0.17264460475879978,0.17264460475879978
normal,num__intraop_mdz,0.16566762219808662,0.16566762219808662,0.16566762219808662
normal,cat__optype_Transplantation,-0.16405244860987037,0.16405244860987037,0.16405244860987037
normal,num__preop_be,0.16350591557124083,0.16350591557124083,0.16350591557124083
normal,cat__iv1_Right forearm,-0.1584152362260086,0.1584152362260086,0.1584152362260086
normal,num__bmi,0.1575939276970268,0.1575939276970268,0.1575939276970268
normal,cat__iv1_Left forearm,-0.15605337183860896,0.15605337183860896,0.15605337183860896
normal,cat__position_Supine,0.15498014059249413,0.15498014059249413,0.15498014059249413
normal,cat__iv2_None,-0.15192558453437635,0.15192558453437635,0.15192558453437635
normal,num__age,-0.1501357627788874,0.1501357627788874,0.1501357627788874
normal,num__preop_pt,0.14988025007719982,0.14988025007719982,0.14988025007719982
normal,cat__iv2_Right foot,-0.1460964459663669,0.1460964459663669,0.1460964459663669
normal,num__intraop_ffp,0.1411012171608692,0.1411012171608692,0.1411012171608692
normal,num__hr_inst_from_rr_prev,-0.14057830776201757,0.14057830776201757,0.14057830776201757
normal,num__preop_ast,0.13938017139163483,0.13938017139163483,0.13938017139163483
normal,cat__iv1_Left hand,-0.13611847401551017,0.13611847401551017,0.13611847401551017
normal,cat__dltubesize_Left-32,-0.12544340174973323,0.12544340174973323,0.12544340174973323
normal,cat__cormack_IIIa,-0.1201552846052546,0.1201552846052546,0.1201552846052546
normal,cat__position_Lithotomy,-0.1170572614425936,0.1170572614425936,0.1170572614425936
normal,cat__iv1_Right etc,-0.11322574685118796,0.11322574685118796,0.11322574685118796
normal,cat__ane_type_General,-0.1109373782763482,0.1109373782763482,0.1109373782763482
normal,cat__preop_ecg_Atrial fibrillation,-0.10931784009827086,0.10931784009827086,0.10931784009827086
normal,cat__cormack_I,-0.10411444998876758,0.10411444998876758,0.10411444998876758
normal,cat__preop_pft_Mild obstructive,0.10304302985280259,0.10304302985280259,0.10304302985280259
normal,cat__department_Gynecology,0.10249306275998685,0.10249306275998685,0.10249306275998685
normal,cat__position_Left lateral decubitus,-0.1019973221363482,0.1019973221363482,0.1019973221363482
normal,cat__optype_Minor resection,0.10195001043386348,0.10195001043386348,0.10195001043386348
normal,num__intraop_uo,0.09903363798246047,0.09903363798246047,0.09903363798246047
normal,num__preop_sao2,-0.09654226456046955,0.09654226456046955,0.09654226456046955
normal,cat__preop_ecg_Atrial fibrillation with slow ventricular response,-0.09169779149265857,0.09169779149265857,0.09169779149265857
normal,num__intraop_colloid,0.08794423368279883,0.08794423368279883,0.08794423368279883
normal,cat__optype_Hepatic,0.08465151694178191,0.08465151694178191,0.08465151694178191
normal,num__preop_hb,-0.08373341527491888,0.08373341527491888,0.08373341527491888
normal,num__preop_bun,-0.07900437902423686,0.07900437902423686,0.07900437902423686
normal,num__analysis_start_time_sec,0.07661358767347905,0.07661358767347905,0.07661358767347905
normal,num__preop_na,-0.07647865771770392,0.07647865771770392,0.07647865771770392
normal,num__preop_plt,0.07010203264582048,0.07010203264582048,0.07010203264582048
normal,num__analysis_end_time_sec,0.06829979211408131,0.06829979211408131,0.06829979211408131
normal,cat__cline2_Right IJV,-0.06750275595260914,0.06750275595260914,0.06750275595260914
normal,num__preop_aptt,-0.0629191350896707,0.0629191350896707,0.0629191350896707
normal,num__time_second,-0.0613597643786177,0.0613597643786177,0.0613597643786177
normal,num__intraop_ftn,0.06107442319113656,0.06107442319113656,0.06107442319113656
normal,num__preop_dm,-0.0540546468706196,0.0540546468706196,0.0540546468706196
normal,cat__iv2_Left etc,-0.05358257291386164,0.05358257291386164,0.05358257291386164
normal,num__preop_k,0.052911181014666304,0.052911181014666304,0.052911181014666304
normal,cat__dltubesize_Left-37,0.05280942600094277,0.05280942600094277,0.05280942600094277
normal,cat__cline2_None,-0.05254028075039202,0.05254028075039202,0.05254028075039202
normal,cat__cline2_Left IJV,0.05000862347070504,0.05000862347070504,0.05000862347070504
normal,cat__sex_F,0.04913280691015649,0.04913280691015649,0.04913280691015649
normal,num__opstart,-0.04815944079570998,0.04815944079570998,0.04815944079570998
normal,num__lmasize,0.046552677710126306,0.046552677710126306,0.046552677710126306
normal,cat__aline1_Left dorsalis pedis,-0.045922973671931454,0.045922973671931454,0.045922973671931454
normal,cat__sex_M,0.0459024408954125,0.0459024408954125,0.0459024408954125
normal,num__intraop_epi,-0.04542178090265593,0.04542178090265593,0.04542178090265593
normal,num__intraop_ebl,-0.04062070262261694,0.04062070262261694,0.04062070262261694
normal,num__preop_pao2,0.038852339371318045,0.038852339371318045,0.038852339371318045
normal,num__total_beats,-0.037339948999637655,0.037339948999637655,0.037339948999637655
normal,num__height,0.0367002116767569,0.0367002116767569,0.0367002116767569
normal,num__anestart,0.03507539031777974,0.03507539031777974,0.03507539031777974
